NO.,분류,계정,리전,서비스명,이름,환경,핵심/중요/일반,운영 체제,크기,개인 IP 주소,공용 IP 주소,디스크,WEB/WAS/DB/ETC
18,AWS,itopsprod,ap-northeast-2,cic,cic-prod-ec2-instance-consult-was-server-2a,운영,핵심,Linux,m5.xlarge,172.29.34.189,,500,WEB/WAS
19,AWS,itopsprod,ap-northeast-2,kvrs,kvrs-prod-ec2-instance-was-2a,운영,일반,Linux,m5a.large,172.29.22.52,,300,WEB/WAS
20,AWS,itopsprod,ap-northeast-2,itsm,itsm-prod-ec2-instance-db,운영,중요,Linux,t3.large,172.29.118.95,,500,DB
21,AWS,itopsprod,ap-northeast-2,itsm,itsm-prod-ec2-instance-web,운영,중요,Linux,m5.large,172.29.118.217,,500,WEB/WAS
22,AWS,itopsprod,ap-northeast-2,srm,srm-prod-ec2-instance-was-2a,운영,중요,Linux,m5.large,172.29.52.60,,400,WEB/WAS
23,AWS,itopsprod,ap-northeast-2,srm,srm-prod-ec2-instance-oz-report-2a,운영,중요,Linux,m6g.large,172.29.52.224,,200,APP
24,AWS,itopsprod,ap-northeast-2,cic,cic-prod-ec2-instance-consult-was-server-2c,운영,핵심,Linux,m5.xlarge,172.29.36.206,,500,WEB/WAS
25,AWS,itopsprod,ap-northeast-2,cic,cic-prod-ec2-instance-service-was-server-2c,운영,핵심,Linux,m5.xlarge,172.29.37.217,,500,WEB/WAS
26,AWS,itopsprod,ap-northeast-2,srm,srm-prod-ec2-instance-was-2c,운영,중요,Linux,m5.large,172.29.53.208,,400,WEB/WAS
27,AWS,itopsprod,ap-northeast-2,srm,srm-prod-ec2-instance-legacy-2a,운영,중요,Linux,t3a.nano,172.29.52.144,,20,WEB
28,AWS,itopsprod,ap-northeast-2,skm,skm-prod-ec2-instance-batch,운영,중요,Linux,m5.xlarge,172.29.169.120,,100,APP
29,AWS,itopsprod,ap-northeast-2,zabbix,zabbix-mon-infra,운영,중요,Linux,t3.2xlarge,172.29.3.116,13.209.56.166,1000,WEB/WAS/DB
30,AWS,itopsprod,ap-northeast-2,eai,eai-prod-ec2-instance-app-2c,운영,핵심,Linux,c6i.2xlarge,172.29.190.22,,288,WEB/WAS
